[Dev, 17-Aug-2015 02:37:45]: kek
[Dev, 17-Aug-2015 03:00:49]: :;god
[Dev, 17-Aug-2015 03:14:19]: test
[Dev, 17-Aug-2015 16:01:49]: fuk
[Dev, 17-Aug-2015 16:18:24]: nigga
[Dev, 18-Aug-2015 23:56:00]: w5trhe56h
[Dev, 18-Aug-2015 23:56:01]: 5hje5r6h56ehe56
[Blibis, Aug 23, 2015 11:46:58 PM]: #yp;pswaggins420blazeit360noscopepickup180dropshotggnore
[Snow, Aug 23, 2015 11:47:02 PM]: #kanker
[Blibis, Aug 23, 2015 11:47:13 PM]: ;
[Snow, Aug 23, 2015 11:47:17 PM]: p;p
[Snow, Aug 23, 2015 11:47:20 PM]: yp;p
[Blibis, Aug 23, 2015 11:47:21 PM]: [;[;
[Snow, Aug 23, 2015 11:47:30 PM]: [][][][][][][][][][][]
[Blibis, Aug 23, 2015 11:57:04 PM]: yas
[Snow, Aug 23, 2015 11:57:13 PM]: yasssssssss
[Snow, Aug 24, 2015 4:34:27 PM]: kek
[Chibi, Aug 24, 2015 4:35:04 PM]: top kek
[Snow, Aug 24, 2015 4:35:11 PM]: only the dankest of memes
[Chibi, Aug 24, 2015 4:35:16 PM]: the dankest
[Chibi, Aug 24, 2015 4:35:42 PM]: time to get some shitty arrows
[Snow, Aug 24, 2015 4:35:46 PM]: kek
[Snow, Aug 24, 2015 4:35:49 PM]: time to get a hilt
[Chibi, Aug 24, 2015 4:35:56 PM]: i c
[Snow, Aug 24, 2015 4:36:10 PM]: stocking up though atm
[Snow, Aug 24, 2015 4:36:22 PM]: actually wait
[Snow, Aug 24, 2015 4:36:23 PM]: driving lesson
[Snow, Aug 24, 2015 4:36:24 PM]: fak
[Snow, Aug 24, 2015 4:36:36 PM]: ill do a few kills
[Snow, Aug 24, 2015 4:36:36 PM]: fff
[Snow, Aug 24, 2015 4:46:49 PM]: l0l
[Blibis, Aug 24, 2015 4:47:09 PM]: dw 
[Snow, Aug 24, 2015 4:48:24 PM]: :[]
[Snow, Aug 24, 2015 4:51:57 PM]: my last kill then im gone for 2 hours
[Blibis, Aug 24, 2015 4:52:16 PM]: alright
[Blibis, Aug 24, 2015 4:58:23 PM]: :;home
[Chibi, Aug 24, 2015 6:22:55 PM]: 00000000000
[Blibis, Aug 24, 2015 11:07:54 PM]: lads
[Blibis, Aug 24, 2015 11:10:32 PM]: ..........................
[Snow, Aug 25, 2015 2:41:25 AM]: gold charm
[Snow, Aug 25, 2015 2:44:50 PM]: AWWWW SHIIIIIIIIIIIIIIIT
[Snow, Aug 25, 2015 2:44:56 PM]: also fighter caves are ass
[Snow, Aug 25, 2015 2:45:07 PM]: they are the exact same as in rs
[Snow, Aug 25, 2015 2:45:10 PM]: so you have to do 63 waves
[Blibis, Aug 25, 2015 2:45:52 PM]: kree'arra
[Blibis, Aug 25, 2015 2:45:57 PM]: teleporting piece of bitchj
[Blibis, Aug 25, 2015 2:45:59 PM]: bitch
[Blibis, Aug 25, 2015 2:46:01 PM]: aisdogasiud
[Snow, Aug 25, 2015 2:46:05 PM]: bark bark
[Blibis, Aug 25, 2015 2:46:55 PM]: these eggs are shit
[Blibis, Aug 25, 2015 2:46:58 PM]: everything is shit
[Snow, Aug 25, 2015 2:47:20 PM]: life
[Snow, Aug 25, 2015 2:47:26 PM]: i know im getting kfc
[Snow, Aug 25, 2015 2:47:27 PM]: thats about it
[Blibis, Aug 25, 2015 2:47:44 PM]: - . -
[Snow, Aug 25, 2015 2:48:46 PM]: memes
[Snow, Aug 25, 2015 2:48:55 PM]: also armour is so damage dependant
[Snow, Aug 25, 2015 2:49:08 PM]: like im hitting constantly with a whip now with a torso + fc
[Blibis, Aug 25, 2015 2:50:59 PM]: i am so done with armadyl
[Snow, Aug 25, 2015 2:51:48 PM]: keep doing it
[Snow, Aug 25, 2015 2:51:53 PM]: armadyl drop rates are quite iffy
[Blibis, Aug 25, 2015 2:52:02 PM]: 1/512
[Blibis, Aug 25, 2015 2:52:04 PM]: pls
[Snow, Aug 25, 2015 2:52:18 PM]: armadyl armour that is
[Snow, Aug 25, 2015 6:27:54 PM]: dicks
[Snow, Aug 25, 2015 6:29:02 PM]: ff
[Snow, Aug 25, 2015 6:29:03 PM]: f
[Snow, Aug 25, 2015 6:29:07 PM]: f
[Snow, Aug 25, 2015 6:29:17 PM]: gangsta rap
[Blibis, Aug 25, 2015 6:29:23 PM]: which shop
[Blibis, Aug 25, 2015 6:29:26 PM]: in skiling
[Blibis, Aug 25, 2015 6:29:28 PM]: skliling
[Snow, Aug 25, 2015 6:29:29 PM]: the one behind me
[Blibis, Aug 25, 2015 6:29:29 PM]: lll
[Blibis, Aug 25, 2015 6:29:29 PM]: l
[Blibis, Aug 25, 2015 6:29:30 PM]: l
[Snow, Aug 25, 2015 6:29:36 PM]: guy with the apron
[Snow, Aug 25, 2015 6:29:41 PM]: not the damn tree
[Snow, Aug 25, 2015 6:30:05 PM]: 99 prayer pls
[Snow, Aug 25, 2015 6:30:40 PM]: :[]
[Snow, Aug 25, 2015 6:31:27 PM]: now what
[Snow, Aug 25, 2015 6:31:30 PM]: fk
[Blibis, Aug 25, 2015 6:31:40 PM]: do you have tooth halves
[Snow, Aug 25, 2015 6:31:44 PM]: nop
[Blibis, Aug 25, 2015 6:31:47 PM]: f
[Snow, Aug 25, 2015 6:32:03 PM]: fak
[Blibis, Aug 25, 2015 6:32:17 PM]: family show
[Blibis, Aug 25, 2015 6:32:43 PM]: have you maxed agility yet
[Snow, Aug 25, 2015 6:32:52 PM]: id rather drown than get 200m xp
[Snow, Aug 25, 2015 6:32:59 PM]: it was annoying to get 13m
[Snow, Aug 25, 2015 6:33:02 PM]: let alone 200m
[Blibis, Aug 25, 2015 6:33:07 PM]: did you 99 it
[Snow, Aug 25, 2015 6:33:12 PM]: ya
[Snow, Aug 25, 2015 6:33:24 PM]: just righthclick me and view stats
[Blibis, Aug 25, 2015 6:33:33 PM]: lazy
[Blibis, Aug 25, 2015 6:33:46 PM]: stop giving head to the table
[Blibis, Aug 25, 2015 6:33:48 PM]: you slut
[Snow, Aug 25, 2015 6:33:53 PM]: garglegarglegargle
[Blibis, Aug 25, 2015 6:34:02 PM]: welp
[Blibis, Aug 25, 2015 6:34:08 PM]: time to die
[Snow, Aug 25, 2015 6:34:15 PM]: actually
[Snow, Aug 25, 2015 6:34:18 PM]: way too lazy for armadyul
[Snow, Aug 25, 2015 6:34:20 PM]: fki0aek
[Blibis, Aug 25, 2015 6:34:31 PM]: at least you get drops
[Blibis, Aug 25, 2015 6:35:26 PM]: fuck this 
[Blibis, Sep 26, 2015 9:50:49 PM]: !home
[Blibis, Sep 26, 2015 9:50:53 PM]: :home
[Chibi, Jan 2, 2016 8:14:53 PM]: Burn the niggers
[Chibi, Jan 2, 2016 8:14:53 PM]: Burn the niggers
[Chibi, Jan 2, 2016 8:14:54 PM]: Burn the niggers
[Chibi, Jan 2, 2016 8:14:55 PM]: Burn the niggers
[Chibi, Jan 2, 2016 8:14:57 PM]: Burn the niggers
[Chibi, Jan 2, 2016 8:14:57 PM]: Burn the niggers
[Chibi, Jan 2, 2016 8:14:59 PM]: Burn the niggers
[Chibi, Jan 2, 2016 8:14:59 PM]: Burn the niggers
[Chibi, Jan 2, 2016 8:15:01 PM]: Burn the niggers
[Chibi, Jan 2, 2016 8:15:01 PM]: Burn the niggers
[Chibi, Jan 2, 2016 8:15:03 PM]: Burn the niggers
[Chibi, Jan 2, 2016 8:15:03 PM]: Burn the niggers
[Chibi, Jan 2, 2016 8:15:04 PM]: Burn the niggers
[Chibi, Jan 2, 2016 8:15:05 PM]: Burn the niggers
[Chibi, Jan 2, 2016 8:15:07 PM]: Burn the niggers
[Chibi, Jan 2, 2016 8:15:07 PM]: Burn the niggers
[Chibi, Jan 2, 2016 8:15:09 PM]: Burn the niggers
[Chibi, Jan 2, 2016 8:15:09 PM]: Burn the niggers
[Chibi, Jan 2, 2016 8:15:11 PM]: Burn the niggers
[Chibi, Jan 2, 2016 8:15:11 PM]: Burn the niggers
[Chibi, Jan 2, 2016 8:15:12 PM]: Burn the niggers
[Chibi, Jan 2, 2016 8:15:14 PM]: Burn the niggers
[Chibi, Jan 2, 2016 8:15:14 PM]: Burn the niggers
[Chibi, Jan 2, 2016 8:15:15 PM]: Burn the niggers
[Chibi, Jan 2, 2016 8:15:16 PM]: Burn the niggers
[Chibi, Jan 2, 2016 8:15:17 PM]: Burn the niggers
[Chibi, Jan 2, 2016 8:15:18 PM]: Burn the niggers
[Chibi, Jan 2, 2016 8:15:19 PM]: Burn the niggers
[Chibi, Jan 2, 2016 8:15:20 PM]: Burn the niggers
[Chibi, Jan 2, 2016 8:15:21 PM]: Burn the niggers
[Chibi, Jan 2, 2016 8:15:22 PM]: Burn the niggers
[Chibi, Jan 2, 2016 8:15:24 PM]: Burn the niggers
[Chibi, Jan 2, 2016 8:15:25 PM]: Burn the niggers
[Chibi, Jan 2, 2016 8:15:25 PM]: Burn the niggers
[Chibi, Jan 2, 2016 8:15:26 PM]: Burn the niggers
[Chibi, Jan 2, 2016 8:15:28 PM]: Burn the niggers
[Chibi, Jan 2, 2016 8:15:29 PM]: Burn the niggers
[Chibi, Jan 2, 2016 8:15:29 PM]: Burn the niggers
[Chibi, Jan 2, 2016 8:15:31 PM]: Burn the niggers
[Chibi, Jan 2, 2016 8:15:32 PM]: Burn the niggers
[Chibi, Jan 2, 2016 8:15:32 PM]: Burn the niggers
[Chibi, Jan 2, 2016 8:15:34 PM]: Burn the niggers
[Chibi, Jan 2, 2016 8:15:35 PM]: Burn the niggers
[Chibi, Jan 2, 2016 8:15:36 PM]: Burn the niggers
[Chibi, Jan 2, 2016 8:15:37 PM]: Burn the niggers
[Chibi, Jan 2, 2016 8:15:38 PM]: Burn the niggers
[Chibi, Jan 2, 2016 8:15:39 PM]: Burn the niggers
[Chibi, Jan 2, 2016 8:15:40 PM]: Burn the niggers
[Chibi, Jan 2, 2016 8:15:40 PM]: Burn the niggers
[Chibi, Jan 2, 2016 8:15:41 PM]: Burn the niggers
[Chibi, Jan 2, 2016 8:15:43 PM]: Burn the niggers
[Chibi, Jan 2, 2016 8:15:45 PM]: Burn the niggers
[Chibi, Jan 2, 2016 8:16:14 PM]: Burn the niggers
[Chibi, Jan 2, 2016 8:16:15 PM]: I CANT WAKE UP
[Chibi, Jan 2, 2016 8:16:16 PM]: Burn the niggers
[Chibi, Jan 2, 2016 8:16:17 PM]: I CANT WAKE UP
[Chibi, Jan 2, 2016 8:16:18 PM]: Burn the niggers
[Chibi, Jan 2, 2016 8:16:19 PM]: I CANT WAKE UP
[Chibi, Jan 2, 2016 8:16:20 PM]: Burn the niggers
[Chibi, Jan 2, 2016 8:16:21 PM]: I CANT WAKE UP
[Chibi, Jan 2, 2016 8:16:22 PM]: Burn the niggers
[Chibi, Jan 2, 2016 8:16:25 PM]: I CANT WAKE UP
[Chibi, Jan 2, 2016 8:16:26 PM]: Burn the niggers
[Chibi, Jan 2, 2016 8:17:03 PM]: I CANT WAKE UP
[Chibi, Jan 2, 2016 8:17:04 PM]: WAKE ME UP INSIDE
[Chibi, Jan 2, 2016 8:17:05 PM]: I CANT WAKE UP
[Chibi, Jan 2, 2016 8:17:06 PM]: WAKE ME UP INSIDE
[Chibi, Jan 2, 2016 8:17:07 PM]: I CANT WAKE UP
[Chibi, Jan 2, 2016 8:17:08 PM]: WAKE ME UP INSIDE
[Chibi, Jan 2, 2016 8:17:09 PM]: I CANT WAKE UP
[Chibi, Jan 2, 2016 8:17:10 PM]: WAKE ME UP INSIDE
[Chibi, Jan 2, 2016 8:17:11 PM]: I CANT WAKE UP
[Chibi, Jan 2, 2016 8:17:12 PM]: WAKE ME UP INSIDE
[Chibi, Jan 2, 2016 8:17:13 PM]: I CANT WAKE UP
[Chibi, Jan 2, 2016 8:17:14 PM]: WAKE ME UP INSIDE
[Chibi, Jan 2, 2016 8:17:15 PM]: I CANT WAKE UP
[Chibi, Jan 2, 2016 8:17:16 PM]: WAKE ME UP INSIDE
[Chibi, Jan 2, 2016 8:36:43 PM]: I can't wake up
[Chibi, Jan 2, 2016 8:36:44 PM]: Wake me up inside
[Chibi, Jan 2, 2016 8:36:45 PM]: I can't wake up
[Chibi, Jan 2, 2016 8:36:46 PM]: Wake me up inside
[Chibi, Jan 2, 2016 8:36:47 PM]: I can't wake up
[Chibi, Jan 2, 2016 8:36:48 PM]: Wake me up inside
[Chibi, Jan 2, 2016 8:36:49 PM]: I can't wake up
[Chibi, Jan 2, 2016 8:36:50 PM]: Wake me up inside
[Chibi, Jan 2, 2016 8:36:51 PM]: I can't wake up
[Chibi, Jan 2, 2016 8:36:52 PM]: Wake me up inside
[Chibi, Jan 2, 2016 8:36:53 PM]: I can't wake up
[Chibi, Jan 2, 2016 8:36:54 PM]: Wake me up inside
[Chibi, Jan 2, 2016 8:36:55 PM]: I can't wake up
[Chibi, Jan 2, 2016 8:36:56 PM]: Wake me up inside
[Chibi, Jan 2, 2016 8:36:57 PM]: I can't wake up
[Chibi, Jan 2, 2016 8:36:58 PM]: Wake me up inside
[Chibi, Jan 2, 2016 8:36:59 PM]: I can't wake up
[Chibi, Jan 2, 2016 8:37:00 PM]: Wake me up inside
[Chibi, Jan 2, 2016 8:37:01 PM]: I can't wake up
[Chibi, Jan 2, 2016 8:37:02 PM]: Wake me up inside
[Chibi, Jan 2, 2016 8:37:03 PM]: I can't wake up
[Chibi, Jan 2, 2016 8:37:05 PM]: I can't wake up
[Chibi, Jan 2, 2016 8:37:06 PM]: Wake me up inside
[Chibi, Jan 2, 2016 8:37:12 PM]: Wake me up inside
[Chibi, Jan 2, 2016 8:37:13 PM]: I can't wake up
[Chibi, Jan 2, 2016 8:37:14 PM]: Wake me up inside
[Chibi, Jan 2, 2016 8:37:15 PM]: I can't wake up
[Chibi, Jan 2, 2016 8:37:16 PM]: Wake me up inside
[Chibi, Jan 2, 2016 8:37:17 PM]: I can't wake up
[Snow, Jan 2, 2016 9:04:25 PM]: hey blib come on server and do armadyl
[Chibi, Jan 2, 2016 9:32:40 PM]:  ;;home
[Snow, Jan 3, 2016 12:03:13 AM]: nnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnbnbnbnbnbnbnnbnbnbnbnbnnbnbnbnbnbnbnbnbnbnbnbn
[Blibis, Jan 3, 2016 4:02:03 AM]: omg
[Snow, Jan 3, 2016 4:02:09 AM]: memes
[Snow, Jan 3, 2016 4:02:38 PM]: good shit
[Blibis, Jan 3, 2016 4:02:42 PM]: okay handsign
[Blibis, Jan 3, 2016 4:03:02 PM]: fuck it's been so long since i've been on here
[Snow, Jan 3, 2016 4:03:09 PM]: i'm going for maxed
[Snow, Jan 3, 2016 4:03:22 PM]: 13 more 99s
[Blibis, Jan 3, 2016 4:03:28 PM]: i might as well just kill myself then
[Snow, Jan 3, 2016 4:03:36 PM]: :[]
[Snow, Jan 3, 2016 4:03:40 PM]: I have only 12 99s 
[Snow, Jan 3, 2016 4:04:05 PM]: I want that cape
[Snow, Jan 3, 2016 4:04:07 PM]: on the wall
[Snow, Jan 3, 2016 4:04:17 PM]: mysterious cape = completitionst cape
[Blibis, Jan 3, 2016 4:04:22 PM]: do it 
[Blibis, Jan 3, 2016 4:04:24 PM]: man
[Snow, Jan 3, 2016 4:04:28 PM]: completionist *** ** * ** * 
[Snow, Jan 3, 2016 4:04:34 PM]: back to the mining grind
[Blibis, Jan 3, 2016 4:04:37 PM]: glh
[Blibis, Jan 3, 2016 4:04:38 PM]: f
[Blibis, Jan 3, 2016 4:07:01 PM]: fak
[Snow, Jan 3, 2016 7:36:56 PM]: ooh
[Blibis, Jan 3, 2016 10:48:27 PM]: memes
[Snow, Jan 3, 2016 10:49:26 PM]: tyvm :[)
[Snow, Jan 3, 2016 10:55:50 PM]: meme
[Blibis, Jan 4, 2016 1:02:59 AM]: i::home
[Blibis, Jan 5, 2016 1:11:41 AM]: ghello
[Snow, Jan 5, 2016 1:21:28 AM]: :[]
[Snow, Jan 5, 2016 1:21:42 AM]: \afk
[Snow, Jan 5, 2016 1:21:42 AM]: afk
[Snow, Jan 5, 2016 1:21:43 AM]: afk
[Snow, Jan 5, 2016 1:21:43 AM]: fk
[Snow, Jan 5, 2016 1:21:44 AM]: afk
[Blibis, Jan 5, 2016 1:21:49 AM]: ok
[Blibis, Jan 5, 2016 1:22:09 AM]: roflmao
[Eyeizmoorey, Jan 5, 2016 1:22:27 AM]: !dance
[Blibis, Jan 5, 2016 1:25:48 AM]: you really gotta win those
[Snow, Jan 5, 2016 1:29:34 AM]: armadyl
[Blibis, Jan 5, 2016 1:29:36 AM]: uiyhvf'
[Snow, Jan 5, 2016 1:29:36 AM]: fire cape
[Blibis, Jan 5, 2016 1:29:37 AM]: dsefjh s'dfugsdf
[Blibis, Jan 5, 2016 1:29:37 AM]: dfugdsf
[Blibis, Jan 5, 2016 1:29:38 AM]: gdsfoudsf
[Blibis, Jan 5, 2016 1:29:38 AM]: sdfgds
[Blibis, Jan 5, 2016 1:29:39 AM]: FUOgdsf
[Blibis, Jan 5, 2016 1:29:39 AM]: fugds
[Snow, Jan 5, 2016 1:29:46 AM]: lucky specteral
[Blibis, Jan 5, 2016 1:29:50 AM]: gay faggot nigger
[Blibis, Jan 5, 2016 1:29:55 AM]: nigger faggot
[Snow, Jan 5, 2016 1:29:55 AM]: constitution hood
[Snow, Jan 5, 2016 1:30:41 AM]: :[]
[Snow, Jan 5, 2016 1:30:42 AM]: :[]
[Blibis, Jan 5, 2016 1:30:54 AM]: []
[Blibis, Jan 5, 2016 1:33:20 AM]: keepass
[Snow, Jan 5, 2016 1:33:56 AM]: keepo
[Blibis, Jan 5, 2016 1:37:33 AM]: stolen
[Blibis, Jan 5, 2016 1:37:35 AM]: nigger faggot
[Snow, Jan 5, 2016 1:37:37 AM]: stolen!
[Snow, Jan 5, 2016 1:38:06 AM]: crawling
[Snow, Jan 5, 2016 1:38:06 AM]: in
[Snow, Jan 5, 2016 1:38:07 AM]: my
[Snow, Jan 5, 2016 1:38:07 AM]: skin
[Snow, Jan 5, 2016 1:38:08 AM]: these
[Snow, Jan 5, 2016 1:38:09 AM]: wounds
[Snow, Jan 5, 2016 1:38:09 AM]: they
[Snow, Jan 5, 2016 1:38:10 AM]: will
[Snow, Jan 5, 2016 1:38:10 AM]: not
[Snow, Jan 5, 2016 1:38:11 AM]: heal
[Snow, Jan 5, 2016 1:38:12 AM]: fear
[Snow, Jan 5, 2016 1:38:12 AM]: is
[Snow, Jan 5, 2016 1:38:12 AM]: how
[Snow, Jan 5, 2016 1:38:13 AM]: i
[Snow, Jan 5, 2016 1:38:14 AM]: fall
[Eyeizmoorey, Jan 5, 2016 1:38:19 AM]: confusing
[Eyeizmoorey, Jan 5, 2016 1:38:22 AM]: what
[Eyeizmoorey, Jan 5, 2016 1:38:22 AM]: is
[Eyeizmoorey, Jan 5, 2016 1:38:25 AM]: realllllll
[Snow, Jan 5, 2016 1:38:32 AM]: :[]
[Blibis, Jan 5, 2016 1:38:35 AM]: []
[Eyeizmoorey, Jan 5, 2016 1:38:40 AM]: []
[Snow, Jan 5, 2016 1:38:41 AM]: []
[Snow, Jan 5, 2016 1:38:41 AM]: []
[Curtzeninja, Jan 5, 2016 1:38:42 AM]: :O
[Snow, Jan 5, 2016 1:38:42 AM]: []
[Snow, Jan 5, 2016 1:38:42 AM]: [
[Snow, Jan 5, 2016 1:38:43 AM]: ][]
[Snow, Jan 5, 2016 1:38:43 AM]: []
[Snow, Jan 5, 2016 1:38:44 AM]: []
[Snow, Jan 5, 2016 1:38:45 AM]: ][]][
[Blibis, Jan 5, 2016 1:38:50 AM]: []
[Blibis, Jan 5, 2016 1:38:51 AM]: []
[Blibis, Jan 5, 2016 1:38:51 AM]: []
[Blibis, Jan 5, 2016 1:38:52 AM]: []
[Blibis, Jan 5, 2016 1:38:52 AM]: []
[Blibis, Jan 5, 2016 1:38:52 AM]: []
[Blibis, Jan 5, 2016 1:38:53 AM]: []
[Blibis, Jan 5, 2016 1:38:54 AM]: []
[Curtzeninja, Jan 5, 2016 1:38:54 AM]: :[]
[Blibis, Jan 5, 2016 1:38:54 AM]: []
[Curtzeninja, Jan 5, 2016 1:38:58 AM]: :[)
[Snow, Jan 5, 2016 1:39:00 AM]: zzzzzzzzzzzz
[Snow, Jan 5, 2016 1:39:01 AM]: zzzzzzzzzzzzzzzzzzzz
[Snow, Jan 5, 2016 1:39:02 AM]: zzzzzzzzzzzzzzz
[Snow, Jan 5, 2016 1:39:03 AM]: zzz
[Snow, Jan 5, 2016 1:39:04 AM]: zzzzzzzzzzz
[Blibis, Jan 5, 2016 1:39:11 AM]: y
[Snow, Jan 5, 2016 1:39:13 AM]: hot
[Blibis, Jan 5, 2016 1:39:13 AM]: u
[Snow, Jan 5, 2016 1:39:14 AM]: i cant speak
[Blibis, Jan 5, 2016 1:39:14 AM]: hguj
[Curtzeninja, Jan 5, 2016 1:39:15 AM]: :[)[)[)[)[)[)
[Blibis, Jan 5, 2016 1:39:16 AM]: \
[Snow, Jan 5, 2016 1:39:16 AM]: ay
[Snow, Jan 5, 2016 1:39:16 AM]: lmao
[Snow, Jan 5, 2016 1:39:18 AM]: ayy
[Snow, Jan 5, 2016 1:39:19 AM]: lmao
[Snow, Jan 5, 2016 1:39:20 AM]: ayy
[Snow, Jan 5, 2016 1:39:20 AM]: lmao
[Snow, Jan 5, 2016 1:39:34 AM]: i want
[Snow, Jan 5, 2016 1:39:34 AM]: key
[Snow, Jan 5, 2016 1:39:35 AM]: :[]
[Snow, Jan 5, 2016 1:39:38 AM]: pls be this one
[Snow, Jan 5, 2016 1:39:39 AM]: ez key
[Snow, Jan 5, 2016 1:39:40 AM]: cyka
[Snow, Jan 5, 2016 1:39:41 AM]: blyat
[Snow, Jan 5, 2016 1:39:53 AM]: ayyyyyyyyyyyyyy
[Snow, Jan 5, 2016 1:39:56 AM]: lmmmmaaaaaaaaooooooooooooooooo
[Snow, Jan 5, 2016 1:40:05 AM]: tooth
[Snow, Jan 5, 2016 1:40:17 AM]: oh
[Snow, Jan 5, 2016 1:40:18 AM]: I dont have one
[Snow, Jan 5, 2016 1:40:22 AM]: i was just saying what it was called
[Snow, Jan 5, 2016 1:40:28 AM]: I have loops
[Snow, Jan 5, 2016 1:40:30 AM]: just need tooth
[Snow, Jan 5, 2016 1:40:55 AM]: negative
[Snow, Jan 5, 2016 1:41:16 AM]: it's an boat
[Snow, Jan 5, 2016 1:41:59 AM]: :[)
[Snow, Jan 5, 2016 1:42:08 AM]: affirmative
[Snow, Jan 5, 2016 1:42:19 AM]: :[]
[Snow, Jan 5, 2016 1:42:52 AM]: I wdant
[Snow, Jan 5, 2016 1:42:52 AM]: tooth
[Snow, Jan 5, 2016 1:42:54 AM]: holy shit
[Snow, Jan 5, 2016 1:42:55 AM]: please
[Blibis, Jan 5, 2016 1:42:56 AM]: me
[Blibis, Jan 5, 2016 1:42:56 AM]: too
[Snow, Jan 5, 2016 1:42:56 AM]: give me tooth
[Snow, Jan 5, 2016 1:42:57 AM]: cmon
[Snow, Jan 5, 2016 1:42:58 AM]: fck
[Snow, Jan 5, 2016 1:42:58 AM]: tkio9ajtkm43
[Snow, Jan 5, 2016 1:42:59 AM]: eop-45eokt
[Snow, Jan 5, 2016 1:43:00 AM]: ows4t3kw0tijws43emi0tw43e
[Snow, Jan 5, 2016 1:43:06 AM]: I have cancer
[Blibis, Jan 5, 2016 1:43:09 AM]: i have aids
[Snow, Jan 5, 2016 1:43:51 AM]: get guthix
[Snow, Jan 5, 2016 1:44:05 AM]: saradomin
[Snow, Jan 5, 2016 1:44:06 AM]: legs
[Snow, Jan 5, 2016 1:44:22 AM]: bone spear
[Blibis, Jan 5, 2016 1:44:33 AM]: maul
[Snow, Jan 5, 2016 1:44:39 AM]: wah
[Blibis, Jan 5, 2016 1:44:41 AM]: maul
[Blibis, Jan 5, 2016 1:44:46 AM]: granite maul
[Snow, Jan 5, 2016 1:44:46 AM]: ohh
[Snow, Jan 5, 2016 1:44:47 AM]: shit
[Snow, Jan 5, 2016 1:44:49 AM]: that might be good
[Blibis, Jan 5, 2016 1:44:52 AM]: mall
[Snow, Jan 5, 2016 1:44:55 AM]: if you cant gert them from gargoyles
[Snow, Jan 5, 2016 1:45:53 AM]: aascend 
[Snow, Jan 5, 2016 1:45:55 AM]: from this world
[Snow, Jan 5, 2016 1:46:00 AM]: banbnannanananna
[Snow, Jan 5, 2016 1:46:01 AM]: bannannannan
[Snow, Jan 5, 2016 1:46:03 AM]: abannannannananna
[Snow, Jan 5, 2016 1:46:15 AM]: f
[Snow, Jan 5, 2016 1:46:17 AM]: fff
[Snow, Jan 5, 2016 1:46:17 AM]: ff
[Snow, Jan 5, 2016 1:46:18 AM]: ff
[Snow, Jan 5, 2016 1:46:18 AM]: f
[Snow, Jan 5, 2016 1:47:07 AM]: i lagged
[Snow, Jan 5, 2016 1:47:08 AM]: so hard
[Dev, Jan 5, 2016 1:48:53 AM]: yesssssss
[Dev, Jan 5, 2016 1:48:54 AM]: yesssssssssssssssss
[Dev, Jan 5, 2016 1:48:55 AM]: i found ittt
[Blibis, Jan 5, 2016 1:49:03 AM]: hacker
[Dev, Jan 5, 2016 1:49:51 AM]: \\\\\\\\\\\\
[Dev, Jan 5, 2016 1:50:19 AM]: you
[Dev, Jan 5, 2016 1:50:20 AM]: fuck
[Blibis, Jan 5, 2016 1:50:21 AM]: LOL
[Dev, Jan 5, 2016 1:50:25 AM]: yes#
[Dev, Jan 5, 2016 1:51:00 AM]: lucky bgs
[Dev, Jan 5, 2016 1:51:01 AM]: ayy lmao
[Dev, Jan 5, 2016 1:51:05 AM]: how
[Dev, Jan 5, 2016 1:51:05 AM]: tf
[Dev, Jan 5, 2016 1:51:07 AM]: did I get this
[Dev, Jan 5, 2016 1:51:09 AM]: first drop
[Dev, Jan 5, 2016 1:51:10 AM]: on my main
[Dev, Jan 5, 2016 1:51:15 AM]: I opened 50
[Dev, Jan 5, 2016 1:51:16 AM]: and got it
[Dev, Jan 5, 2016 1:52:36 AM]: 2 whips
[Dev, Jan 5, 2016 1:52:37 AM]: from sof
[Dev, Jan 5, 2016 1:52:38 AM]: ay
[Blibis, Jan 5, 2016 1:52:55 AM]: grats
[Blibis, Jan 5, 2016 1:52:58 AM]: i have 5
[Blibis, Jan 5, 2016 1:53:00 AM]: :((
[Dev, Jan 5, 2016 1:53:01 AM]:  moisturize me
[Blibis, Jan 5, 2016 1:53:04 AM]: mm
[Blibis, Jan 5, 2016 1:53:08 AM]: babes
[Dev, Jan 5, 2016 1:53:16 AM]: hail
[Dev, Jan 5, 2016 1:53:16 AM]: the
[Dev, Jan 5, 2016 1:53:17 AM]: dev
[Dev, Jan 5, 2016 1:53:28 AM]: 0
[Dev, Jan 5, 2016 1:53:28 AM]: o
[Dev, Jan 5, 2016 1:53:29 AM]: 0o
[Dev, Jan 5, 2016 1:53:48 AM]: wat
[Dev, Jan 5, 2016 1:53:50 AM]: that wasnt a burp
[Dev, Jan 5, 2016 1:53:51 AM]: that was a demon
[Blibis, Jan 5, 2016 1:53:54 AM]: hhaha
[Dev, Jan 5, 2016 1:54:22 AM]: ltyoi3jq t4
[Dev, Jan 5, 2016 1:54:24 AM]: your floating
[Dev, Jan 5, 2016 1:54:28 AM]: nigga
[Blibis, Jan 5, 2016 1:54:33 AM]: lol
[Blibis, Jan 5, 2016 1:54:36 AM]: who's floating
[Dev, Jan 5, 2016 1:54:55 AM]: tooth
[Dev, Jan 5, 2016 1:54:56 AM]: really
[Blibis, Jan 5, 2016 1:54:58 AM]: jhkf
[Blibis, Jan 5, 2016 1:55:02 AM]: get off dev
